,True Pos,False Pos,False Neg,True Neg,Errors,Eficiency
8793,161,48.0,10,1174.0,0,95.83632447954056
8794,173,28.0,8,1183.0,1,97.41379310344827
8795,170,26.0,10,1186.0,1,97.41379310344827
8796,186,35.0,11,1160.0,1,96.69540229885058
8797,181,32.0,17,1163.0,0,96.4824120603015
8798,167,34.0,15,1176.0,1,96.47988505747126
8799,174,28.0,10,1181.0,0,97.27207465900933
8800,196,26.0,9,1162.0,0,97.48743718592965
8801,181,37.0,9,1166.0,0,96.69777458722182
8802,199,28.0,15,1151.0,0,96.91313711414213
8803,174,25.0,11,1182.0,1,97.41379310344827
8804,172,46.0,10,1163.0,2,95.97411933860532
8805,171,39.0,6,1176.0,1,96.76724137931035
8806,190,31.0,11,1160.0,1,96.98275862068965
8807,160,37.0,8,1188.0,0,96.76956209619526
8808,176,33.0,10,1174.0,0,96.91313711414213
8809,165,32.0,15,1181.0,0,96.62598707824839
8810,185,32.0,5,1171.0,0,97.34386216798278
8811,163,44.0,13,1173.0,0,95.908111988514
8812,176,44.0,10,1163.0,0,96.12347451543431
8813,188,30.0,12,1162.0,1,96.98275862068965
8814,194,32.0,13,1154.0,0,96.76956209619526
8815,188,30.0,10,1165.0,0,97.12849964106246
8816,188,36.0,13,1156.0,0,96.4824120603015
8817,172,32.0,16,1173.0,0,96.55419956927494
8818,176,38.0,8,1171.0,0,96.69777458722182
8819,178,41.0,8,1166.0,0,96.4824120603015
8820,153,32.0,12,1196.0,0,96.8413496051687
8821,165,33.0,11,1184.0,0,96.8413496051687
8822,180,27.0,14,1171.0,1,97.05459770114942
8823,185,38.0,9,1161.0,0,96.62598707824839
8824,184,29.0,9,1170.0,1,97.27011494252874
8825,169,40.0,9,1173.0,2,96.47735442127966
8826,184,41.0,12,1156.0,0,96.19526202440775
8827,170,36.0,9,1178.0,0,96.76956209619526
8828,157,40.0,8,1188.0,0,96.55419956927494
8829,149,37.0,11,1195.0,1,96.55172413793103
8830,178,34.0,9,1172.0,0,96.91313711414213
8831,189,29.0,7,1168.0,0,97.4156496769562
8832,163,30.0,2,1198.0,0,97.70279971284997
8833,185,36.0,10,1160.0,2,96.69302659956865
8834,190,42.0,12,1149.0,0,96.12347451543431
8835,186,36.0,10,1161.0,0,96.69777458722182
8836,183,25.0,9,1174.0,2,97.55571531272466
8837,185,35.0,11,1162.0,0,96.69777458722182
8838,175,31.0,12,1175.0,0,96.91313711414213
8839,188,33.0,8,1164.0,0,97.05671213208902
8840,161,36.0,13,1182.0,1,96.47988505747126
8841,179,35.0,14,1164.0,1,96.47988505747126
8842,177,30.0,11,1175.0,0,97.05671213208902
8843,175,38.0,9,1171.0,0,96.62598707824839
8844,179,32.0,7,1174.0,1,97.19827586206897
8845,177,41.0,15,1160.0,0,95.97989949748744
8846,184,26.0,8,1175.0,0,97.5592246949031
8847,180,36.0,8,1168.0,1,96.83908045977012
8848,172,29.0,12,1180.0,0,97.05671213208902
8849,172,33.0,13,1174.0,1,96.69540229885058
8850,175,27.0,6,1185.0,0,97.63101220387652
8851,159,44.0,8,1181.0,1,96.26436781609196
8852,175,18.0,13,1187.0,0,97.77458722182341
8853,179,27.0,10,1176.0,1,97.3419540229885
8854,161,29.0,10,1193.0,0,97.20028715003589
8855,157,31.0,8,1196.0,1,97.19827586206897
8856,181,27.0,14,1171.0,0,97.05671213208902
8857,184,37.0,14,1158.0,0,96.33883704235463
8858,190,28.0,14,1161.0,0,96.98492462311557
8859,198,31.0,7,1157.0,0,97.27207465900933
8860,188,32.0,13,1159.0,1,96.76724137931035
8861,162,33.0,10,1188.0,0,96.91313711414213
8862,199,35.0,9,1150.0,0,96.8413496051687
8863,177,31.0,13,1172.0,0,96.8413496051687
8864,184,31.0,12,1166.0,0,96.91313711414213
8865,173,45.0,13,1161.0,1,95.83333333333334
8866,194,31.0,10,1156.0,2,97.05248023005032
8867,178,31.0,10,1174.0,0,97.05671213208902
8868,181,36.0,9,1167.0,0,96.76956209619526
8869,175,35.0,14,1169.0,0,96.4824120603015
8870,164,33.0,11,1184.0,1,96.83908045977012
8871,200,32.0,11,1150.0,0,96.91313711414213
8872,183,43.0,9,1157.0,1,96.26436781609196
8873,191,33.0,11,1157.0,1,96.83908045977012
8874,176,38.0,11,1168.0,0,96.4824120603015
8875,188,36.0,14,1154.0,1,96.4080459770115
8876,193,28.0,11,1161.0,0,97.20028715003589
8877,172,42.0,10,1169.0,0,96.26704953338118
8878,162,36.0,13,1182.0,0,96.4824120603015
8879,167,30.0,10,1184.0,2,97.12437095614665
8880,154,29.0,14,1195.0,1,96.91091954022988
8881,164,40.0,11,1178.0,0,96.33883704235463
8882,178,42.0,15,1158.0,0,95.908111988514
8883,186,44.0,8,1155.0,0,96.26704953338118
8884,165,31.0,10,1185.0,2,97.05248023005032
8885,169,33.0,8,1182.0,1,97.05459770114942
8886,164,28.0,13,1188.0,0,97.05671213208902
8887,179,35.0,13,1166.0,0,96.55419956927494
8888,187,35.0,14,1155.0,2,96.47735442127966
8889,169,36.0,11,1176.0,1,96.62356321839081
8890,180,36.0,9,1168.0,0,96.76956209619526
8891,176,37.0,7,1171.0,2,96.83680805176132
8892,162,40.0,8,1183.0,0,96.55419956927494
8893,181,40.0,7,1165.0,0,96.62598707824839
8894,190,31.0,14,1158.0,0,96.76956209619526
8895,180,29.0,13,1171.0,0,96.98492462311557
8896,178,40.0,8,1167.0,0,96.55419956927494
8897,182,32.0,10,1168.0,1,96.98275862068965
8898,192,30.0,11,1160.0,0,97.05671213208902
8899,187,32.0,9,1165.0,0,97.05671213208902
8900,168,35.0,8,1181.0,1,96.91091954022988
8901,170,27.0,9,1186.0,1,97.41379310344827
8902,189,31.0,13,1160.0,0,96.8413496051687
8903,178,36.0,8,1171.0,0,96.8413496051687
8904,175,40.0,5,1173.0,0,96.76956209619526
8905,169,34.0,9,1181.0,0,96.91313711414213
8906,183,38.0,13,1159.0,0,96.33883704235463
8907,170,31.0,5,1187.0,0,97.4156496769562
8908,176,38.0,11,1168.0,0,96.4824120603015
8909,175,42.0,7,1168.0,1,96.47988505747126
8910,168,36.0,13,1176.0,0,96.4824120603015
8911,170,43.0,12,1168.0,0,96.05168700646087
8912,168,30.0,13,1181.0,1,96.91091954022988
8913,178,40.0,13,1162.0,0,96.19526202440775
8914,177,26.0,13,1177.0,0,97.20028715003589
8915,180,34.0,10,1169.0,0,96.8413496051687
8916,161,36.0,7,1188.0,1,96.91091954022988
8917,174,38.0,11,1170.0,0,96.4824120603015
8918,185,27.0,11,1170.0,0,97.27207465900933
8919,180,26.0,10,1177.0,0,97.4156496769562
8920,203,33.0,11,1146.0,0,96.8413496051687
8921,166,38.0,10,1179.0,0,96.55419956927494
8922,191,31.0,11,1159.0,1,96.98275862068965
8923,196,37.0,11,1149.0,0,96.55419956927494
8924,176,23.0,13,1180.0,1,97.41379310344827
8925,163,25.0,10,1195.0,0,97.48743718592965
8926,184,33.0,7,1169.0,0,97.12849964106246
8927,172,29.0,10,1181.0,1,97.19827586206897
8928,166,34.0,16,1176.0,1,96.4080459770115
8929,171,35.0,10,1177.0,0,96.76956209619526
8930,194,29.0,12,1156.0,2,97.05248023005032
8931,175,35.0,13,1170.0,0,96.55419956927494
8932,157,27.0,13,1196.0,0,97.12849964106246
8933,196,37.0,13,1147.0,0,96.41062455132807
8934,176,36.0,12,1169.0,0,96.55419956927494
8935,178,32.0,10,1172.0,1,96.98275862068965
8936,172,27.0,8,1184.0,2,97.48382458662832
8937,160,34.0,9,1190.0,0,96.91313711414213
8938,169,33.0,7,1183.0,1,97.12643678160919
8939,183,31.0,17,1161.0,1,96.55172413793103
8940,170,34.0,8,1181.0,0,96.98492462311557
8941,172,37.0,10,1174.0,0,96.62598707824839
8942,167,34.0,12,1180.0,0,96.69777458722182
8943,178,36.0,12,1166.0,1,96.55172413793103
8944,155,30.0,9,1199.0,0,97.20028715003589
8945,179,37.0,12,1164.0,1,96.47988505747126
8946,183,40.0,11,1159.0,0,96.33883704235463
8947,171,35.0,9,1178.0,0,96.8413496051687
8948,188,33.0,12,1159.0,1,96.76724137931035
8949,186,30.0,14,1163.0,0,96.8413496051687
8950,170,39.0,8,1175.0,1,96.62356321839081
8951,189,38.0,10,1156.0,0,96.55419956927494
8952,182,39.0,11,1161.0,0,96.41062455132807
8953,189,39.0,18,1145.0,2,95.90222861250899
8954,169,28.0,11,1183.0,2,97.19626168224299
8955,184,38.0,12,1158.0,1,96.4080459770115
8956,158,36.0,10,1189.0,0,96.69777458722182
8957,180,36.0,8,1167.0,2,96.83680805176132
8958,159,39.0,13,1180.0,2,96.26168224299066
8959,178,24.0,9,1182.0,0,97.63101220387652
8960,168,34.0,9,1182.0,0,96.91313711414213
8961,152,30.0,12,1198.0,1,96.98275862068965
8962,171,31.0,13,1177.0,1,96.83908045977012
8963,164,32.0,12,1185.0,0,96.8413496051687
8964,172,25.0,8,1187.0,1,97.62931034482759
8965,164,43.0,12,1174.0,0,96.05168700646087
8966,178,38.0,4,1173.0,0,96.98492462311557
8967,168,30.0,7,1186.0,2,97.34004313443566
8968,157,37.0,7,1191.0,1,96.83908045977012
8969,166,27.0,7,1192.0,1,97.5574712643678
8970,188,37.0,10,1157.0,1,96.62356321839081
8971,174,32.0,8,1179.0,0,97.12849964106246
8972,163,34.0,10,1185.0,1,96.83908045977012
8973,186,35.0,8,1163.0,1,96.91091954022988
8974,188,36.0,11,1158.0,0,96.62598707824839
8975,173,32.0,10,1177.0,1,96.98275862068965
8976,179,44.0,9,1161.0,0,96.19526202440775
8977,170,36.0,8,1179.0,0,96.8413496051687
8978,174,35.0,10,1173.0,1,96.76724137931035
8979,170,31.0,10,1181.0,1,97.05459770114942
8980,184,39.0,12,1158.0,0,96.33883704235463
8981,159,30.0,15,1187.0,2,96.764917325665
8982,178,29.0,9,1176.0,1,97.27011494252874
8983,177,34.0,11,1171.0,0,96.76956209619526
8984,199,40.0,18,1135.0,1,95.83333333333334
8985,172,36.0,15,1169.0,1,96.33620689655173
8986,177,32.0,7,1176.0,1,97.19827586206897
8987,158,43.0,14,1178.0,0,95.908111988514
8988,183,42.0,9,1159.0,0,96.33883704235463
8989,176,31.0,7,1179.0,0,97.27207465900933
8990,174,26.0,12,1180.0,1,97.27011494252874
8991,160,31.0,9,1192.0,1,97.12643678160919
8992,193,25.0,7,1168.0,0,97.70279971284997
8993,175,31.0,9,1178.0,0,97.12849964106246
8994,186,29.0,9,1168.0,1,97.27011494252874
8995,177,33.0,13,1169.0,1,96.69540229885058
8996,177,41.0,10,1165.0,0,96.33883704235463
8997,164,31.0,11,1187.0,0,96.98492462311557
8998,184,26.0,12,1171.0,0,97.27207465900933
8999,182,32.0,6,1173.0,0,97.27207465900933
9000,175,42.0,11,1165.0,0,96.19526202440775
9001,177,34.0,13,1168.0,1,96.62356321839081
9002,165,34.0,10,1184.0,0,96.8413496051687
9003,184,49.0,12,1148.0,0,95.62096195262025
9004,189,27.0,7,1168.0,2,97.55571531272466
9005,188,32.0,9,1163.0,1,97.05459770114942
9006,169,32.0,7,1184.0,1,97.19827586206897
9007,164,40.0,14,1175.0,0,96.12347451543431
9008,168,34.0,10,1180.0,1,96.83908045977012
9009,176,32.0,16,1169.0,0,96.55419956927494
